rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,-0.39,-0.6,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63124108314514,None,16.63124108314514,None,16.63124108314514,16.63124108314514,16.63124108314514,16.63124108314514,16.63124108314514,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.4,0.0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7436740398407,None,16.7436740398407,None,16.7436740398407,16.7436740398407,16.7436740398407,16.7436740398407,16.7436740398407,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.01,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.851480960845947,None,16.851480960845947,None,16.851480960845947,16.851480960845947,16.851480960845947,16.851480960845947,16.851480960845947,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.02,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.97104501724243,None,16.97104501724243,None,16.97104501724243,16.97104501724243,16.97104501724243,16.97104501724243,16.97104501724243,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.03,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.047499895095825,None,17.047499895095825,None,17.047499895095825,17.047499895095825,17.047499895095825,17.047499895095825,17.047499895095825,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.04,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.183133125305176,None,17.183133125305176,None,17.183133125305176,17.183133125305176,17.183133125305176,17.183133125305176,17.183133125305176,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.05,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24737310409546,None,17.24737310409546,None,17.24737310409546,17.24737310409546,17.24737310409546,17.24737310409546,17.24737310409546,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.06,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.360944032669067,None,17.360944032669067,None,17.360944032669067,17.360944032669067,17.360944032669067,17.360944032669067,17.360944032669067,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.07,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.476521968841553,None,17.476521968841553,None,17.476521968841553,17.476521968841553,17.476521968841553,17.476521968841553,17.476521968841553,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.08,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.533488988876343,None,17.533488988876343,None,17.533488988876343,17.533488988876343,17.533488988876343,17.533488988876343,17.533488988876343,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.09,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.652750968933105,None,17.652750968933105,None,17.652750968933105,17.652750968933105,17.652750968933105,17.652750968933105,17.652750968933105,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.1,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.750364065170288,None,17.750364065170288,None,17.750364065170288,17.750364065170288,17.750364065170288,17.750364065170288,17.750364065170288,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.11,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.850723028182983,None,17.850723028182983,None,17.850723028182983,17.850723028182983,17.850723028182983,17.850723028182983,17.850723028182983,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.12,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.947901964187622,None,17.947901964187622,None,17.947901964187622,17.947901964187622,17.947901964187622,17.947901964187622,17.947901964187622,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.13,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04574203491211,None,18.04574203491211,None,18.04574203491211,18.04574203491211,18.04574203491211,18.04574203491211,18.04574203491211,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.14,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1507830619812,None,18.1507830619812,None,18.1507830619812,18.1507830619812,18.1507830619812,18.1507830619812,18.1507830619812,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.15,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.257400035858154,None,18.257400035858154,None,18.257400035858154,18.257400035858154,18.257400035858154,18.257400035858154,18.257400035858154,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.16,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.361954927444458,None,18.361954927444458,None,18.361954927444458,18.361954927444458,18.361954927444458,18.361954927444458,18.361954927444458,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.17,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.463376998901367,None,18.463376998901367,None,18.463376998901367,18.463376998901367,18.463376998901367,18.463376998901367,18.463376998901367,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.18,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.562959909439087,None,18.562959909439087,None,18.562959909439087,18.562959909439087,18.562959909439087,18.562959909439087,18.562959909439087,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
,,,,,-0.6,-0.19,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67152190208435,None,18.67152190208435,None,18.67152190208435,18.67152190208435,18.67152190208435,18.67152190208435,18.67152190208435,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1722,untitled,2020.2.10,None,
